S_no,job_company,job_role,job_level,job_experience_min,job_experience_max,job_industry,job_functions,job_skills,,,,,,Skillset,Number of jobs
1,Amazon,Cloud Support Engineer - Bigdata/Hadoop #PS,Associate,,NA,Internet,NA,Oracle PostgreSQL C Spark Java Python SQL AWS,,,,,,C,32
2,India_India,Associate Partner - Captives,Executive,14,NA,Public Policy,NA,C,,,,,,Java,32
3,HuQuo,Hiring for Developer,Entry level,2,8,Human Resources,NA,Java Spring SQL NodeJS AWS Hyperledger Ethereum R3 Corda,,,,,,JavaScript,26
4,Oracle,Senior Principal Consultant - Blockchain/ JET/ ODA Specialist,Associate,6,8,Information Technology & Services,NA,Oracle C HTML5 SQL Azure AWS Ethereum,,,,,,Oracle,22
5,IBM,Practitioner - Finance and Administration Delivery,71 applicants,0,1,Information Technology & Services,NA,,,,,,,React,20
6,IBM,Associate Partner : Industrial Sector (Core Manufacturing),22 applicants,1,15,Information Technology & Services,NA,,,,,,,AWS,20
7,Cube Wealth,Backend Engineer,123 applicants,2,10,Financial Services,NA,Java Python Spring,,,,,,Python,18
8,Signzy,Full stack developer,784 applicants,2,2,Computer Software,NA,NodeJS,,,,,,SQL,18
9,IBM,Lead - Finance and Administration Delivery,69 applicants,4,6,Information Technology & Services,NA,,,,,,,Azure,10
10,IBM,Senior Practitioner - Finance and Administration Delivery,13 applicants,2,4,Information Technology & Services,NA,Oracle,,,,,,Node.js,9
11,Oracle,Software UI Developer 4,Associate,7,NA,Information Technology & Services,NA,Oracle Java HTML5 AngularJS CSS JavaScript AngularJS,,,,,,HTML5,9
12,GreyAtom,GreyAtom - Senior Manager - Marketing (4-9 yrs) Mumbai,Mid-Senior level,,NA,Education Management,NA,C,,,,,,NodeJS,9
13,Infineon Technologies,Expert - Application Engineer,Entry level,4,8,Semiconductors,NA,,,,,,,Spark,7
14,IBM,Associate Partner : Industrial Sector,26 applicants,1,15,Information Technology & Services,NA,,,,,,,CSS,7
15,Oracle,Cloud Engineer,Entry level,5,NA,Information Technology & Services,NA,Oracle Java Node.js JavaScript Angular React Azure AWS,,,,,,Spring,7
16,Oracle,Senior Principal Consultant - WCC/OCE Specialist,Associate,6,8,Information Technology & Services,NA,Oracle C HTML5 SQL Azure AWS,,,,,,Angular,7
17,Panaesha Capital Pvt. Ltd.,Blockchain Developer - Distributed Ledger Technologies (3-10 yrs) Delhi NCR (Emerging Technologies & Roles),Entry level,2,NA,Marketing & Advertising,NA,C Java C++ SQL JavaScript Angular NodeJS Ethereum Solidity,,,,,,Ethereum,7
18,IBM,Senior Practitioner - Finance and Administration Delivery,8 applicants,2,4,Information Technology & Services,NA,,,,,,,PostgreSQL,5
19,Talent Tigers,Full Stack Developer- Node.js/AngularJS (3-7 yrs) Chandigarh (Backend Developer),Entry level,9,6,Outsourcing/Offshoring,NA,Node.js SQL JavaScript Angular,,,,,,PHP,5
20,MindDeft Technologies,Full Stack Blockchain DAPP Developer,23 applicants,2,5,Information Technology & Services,NA,CSS React NodeJS Azure AWS Ethereum,,,,,,AngularJS,4
21,IBM,Storage Backend Developer_Public Cloud,Mid-Senior level,,NA,Information Technology & Services,NA,C Golang Azure AWS Golang,,,,,,AngularJS,4
22,Binance,HR+Admin Manager (HR/TA/GA),Associate,4,NA,Internet,NA,React,,,,,,Solidity,4
23,IBM,Associate Partner : Industrial Sector,55 applicants,1,15,Information Technology & Services,NA,,,,,,,ReactJS,3
24,Startup,Presales Role - Digital Onboarding Solution Provider (0-3 yrs) Mumbai,Entry level,0,3,Semiconductors,NA,C,,,,,,C++,3
25,JPMorgan Chase & Co.,Software Engineering - Java Full Stack,Entry level,5,NA,Financial Services,NA,Java JavaScript React,,,,,,Hyperledger,3
26,IBM,Industry Consultant-Asset Liability Management,22 applicants,10,NA,Information Technology & Services,NA,Oracle Python,,,,,,R3,3
