
Sno,Company,Role,Salary
1,India_India,Associate Partner - Captives,1.5265199999999999,1
2,HuQuo,Hiring for Developer,,-1
3,Oracle,Senior Principal Consultant - Blockchain/ JET/ ODA Specialist,9.54737,2
4,IBM,Practitioner - Finance and Administration Delivery,3.87278,2
5,IBM,Associate Partner : Industrial Sector (Core Manufacturing),3.87278,2
6,Cube Wealth,Backend Engineer,,-1
7,Signzy,Full stack developer,3.5999999999999996,2
8,IBM,Lead - Finance and Administration Delivery,3.87278,1
9,IBM,Senior Practitioner - Finance and Administration Delivery,3.87278,2
10,Oracle,Software UI Developer 4,9.54737,2
11,GreyAtom,GreyAtom - Senior Manager - Marketing (4-9 yrs) Mumbai,18.53076,2
12,Infineon Technologies,Expert - Application Engineer,3.36828,1
13,IBM,Associate Partner : Industrial Sector,3.87278,1
14,Oracle,Cloud Engineer,9.54737,2
15,Oracle,Senior Principal Consultant - WCC/OCE Specialist,9.54737,2
16,Panaesha Capital Pvt. Ltd.,Blockchain Developer - Distributed Ledger Technologies (3-10 yrs) Delhi NCR (Emerging Technologies & Roles),5.25332,2
17,IBM,Senior Practitioner - Finance and Administration Delivery,3.87278,2
18,Talent Tigers,Full Stack Developer- Node.js/AngularJS (3-7 yrs) Chandigarh (Backend Developer),,-1
19,MindDeft Technologies,Full Stack Blockchain DAPP Developer,6.18651,0
20,IBM,Storage Backend Developer_Public Cloud,6.93405,1
21,Binance,HR+Admin Manager (HR/TA/GA),,-1
22,IBM,Associate Partner : Industrial Sector,3.87278,1
23,Startup,Presales Role - Digital Onboarding Solution Provider (0-3 yrs) Mumbai,,-1
24,JPMorgan Chase & Co.,Software Engineering - Java Full Stack,12.0,1
25,IBM,Industry Consultant-Asset Liability Management,3.87278,1
26,JPMorgan Chase & Co.,Software Engineering - Java Full Stack,12.0,1
27,Binance,Engineering Lead,,-1
28,AMBCrypto,Financial Journalist – Day Shift - Remote Work,,-1
29,Artivatic.ai [Insurtech],Artivatic.ai - Blockchain Developer - Solidity/Cryptography (3-5 yrs) Bangalore,,-1
30,Tallyx,Python Developer,,-1
31,IBM,Senior Practitioner - Finance and Administration Delivery,3.87278,2
32,QuillHash Technologies,QuillHash Technologies - React Native Developer - Android/iOS Platform (1-2 yrs) Gurgaon/Gurugram,6.30398,0
33,MindDeft Technologies,Full Stack Blockchain DAPP Developer,6.18651,0
34,Amazon,Cloud Support Engineer - Bigdata/Hadoop #PS,7.72115,1
35,NextGen Invent Corporation,PHP Full-Stack Developer,0.9658800000000001,0
36,Amazon,Cloud Support Engineer - Bigdata/Hadoop #PS,7.72115,1
37,JPMorgan Chase & Co.,Software Engineering - Java Full Stack,12.0,1
38,Crypto.com,Blockchain Engineer - DEFI - Global Fintech Startup,,-1
39,CoinSwitch,Senior Engineering Manager,3.5302800000000003,0
40,Accenture in India,CN - Strategy - MC - Industry X.O - APM - 07,4.75405,2
41,JPMorgan Chase & Co.,Software Engineering - Java Full Stack,18.5548,1
42,JPMorgan Chase & Co.,Software Engineering - Java Full Stack,18.5548,1
43,IBM,Senior Practitioner - Finance and Administration Delivery,3.87278,2
44,Nisum,UX Architect,10.26541,0
45,Signzy,Pre Sales Global,10.09148,0
46,JPMorgan Chase & Co.,Software Engineering - Java Full Stack,12.0,1
47,Oracle,Cloud Engineer,6.03667,2
48,Oracle,Senior Principal Consultant- VBCS/ JET/ ODA Specialist,10.52193,1
49,Signzy,Full stack developer,3.5999999999999996,2
50,NextGen Invent Corporation,Java Full-Stack Developer,0.9658800000000001,0
51,Cube Wealth,Backend Engineer,,-1
52,IBM,Associate Partner : Industrial Sector,3.87278,2
53,Connecting Work People AB,Blockchain Trainer - Java/Javascript/C++ (1-12 yrs) Trivandrum/Thiruvananthapuram (Analytics & Data Science),,-1
54,Connecting Work People AB,Blockchain Trainer - Java/Javascript/C++ (1-12 yrs) Trivandrum/Thiruvananthapuram (Analytics & Data Science),,-1
55,India_India,Associate Partner - Captives,1.5265199999999999,1
56,IBM,Senior Practitioner - Finance and Administration Delivery,3.87278,2
