S_no,job_company,job_role,job_level,job_experience_min,job_experience_max,job_industry,job_functions,job_skills,,,,,Keywords,Occurances,Column1,,,,,,,,,,,,,,,,,,,,,,
1,Oracle,Applications Developer 4,Associate,7,NA,Information Technology & Services,NA,Java HTML5 CSS Spring JavaScript,,,,,C,62,66%,,,,,,,,,,,,,,,,,,,,,,
3,Oracle,Applications Developer 3,Associate,4,NA,Information Technology & Services,NA,Oracle Java Spring JavaScript Angular,,,,,Java,43,46%,,,,,,,,,,,,,,,,,,,,,,
4,Delhivery,Senior Developer - Platform,224 applicants,3,NA,Logistics & Supply Chain,NA,Java Python,,,,,SQL,43,46%,,,,,,,,,,,,,,,,,,,,,,
5,IBM,Application Developer: Java Full Stack,Mid-Senior level,8,8,Information Technology & Services,NA,Oracle C Java HTML5 Spring Hibernate SQL Angular CSS3,,,,,Oracle,34,36%,,,,,,,,,,,,,,,,,,,,,,
6,Poly,Application Developer,Entry level,3,5,Telecommunications,NA,Java Python HTML5 AngularJS JavaScript AngularJS CSS3 AWS,,,,,Spring,24,26%,,,,,,,,,,,,,,,,,,,,,,
7,CyberQ Consulting,Lead Developer,Associate,48642,NA,Information Technology & Services,NA,SQL AWS,,,,,Python,22,23%,,,,,,,,,,,,,,,,,,,,,,
8,IBM,Application developer,30 applicants,8,5,Information Technology & Services,NA,Oracle Python HTML5 CSS Spring SQL Angular Azure AWS,,,,,Angular,21,22%,,,,,,,,,,,,,,,,,,,,,,
9,Deloitte India (Offices of the US),CIS Eagle Developer – Consultant/Senior Consultant – Blr/Hyd,Associate,4,5,Management Consulting,NA,Oracle SQL AWS,,,,,JavaScript,19,20%,,,,,,,,,,,,,,,,,,,,,,
10,Oracle,Applications Developer 3,Associate,4,NA,Information Technology & Services,NA,Java Spring,,,,,AWS,17,18%,,,,,,,,,,,,,,,,,,,,,,
11,Oracle,Applications Developer 3,Associate,4,NA,Information Technology & Services,NA,Oracle Java Python SQL,,,,,CSS,14,15%,,,,,,,,,,,,,,,,,,,,,,
12,Tallyx,Python Developer,80 applicants,0,3,Financial Services,NA,Python,,,,,HTML5,13,14%,,,,,,,,,,,,,,,,,,,,,,
13,Oracle,Applications Developer 4,Associate,7,NA,Information Technology & Services,NA,,,,,,Azure,11,12%,,,,,,,,,,,,,,,,,,,,,,
14,Siemens Technology India,Senior ARVR Developer,Associate,4,NA,Information Technology & Services,NA,C C#,,,,,C#,8,9%,,,,,,,,,,,,,,,,,,,,,,
15,Oracle,Applications Developer 2,Entry level,2,NA,Information Technology & Services,NA,Java,,,,,React,7,7%,,,,,,,,,,,,,,,,,,,,,,
