S_no,job_company,job_role,job_level,job_experience_min,job_experience_max,job_industry,job_functions,job_skills,,,,,,,Languages,Number,Column1,,,,,,,,,,,,,,,,,,,,
1,Johnson Controls,Sr.Engineer - ECAD Library,77 applicants,3,7351,Mechanical Or Industrial Engineering,NA,C,,,,,,,C,51,52%,,,,,,,,,,,,,,,,,,,,
2,Alcon,Engineering Exp Core Network Security,Mid-Senior level,5,10,Medical Device,NA,,,,,,,,AWS,36,36%,,,,,,,,,,,,,,,,,,,,
3,TIBCO,Associate Engineer,Entry level,1,3,Computer Software,NA,C# Python SQL AWS,,,,,,,SQL,30,30%,,,,,,,,,,,,,,,,,,,,
4,QBurst,Senior Engineer - HTML / CSS,Associate,,NA,Information Technology & Services,NA,HTML5 CSS JavaScript,,,,,,,Azure,29,29%,,,,,,,,,,,,,,,,,,,,
5,QBurst,Senior Engineer - HTML / CSS,Associate,,NA,Information Technology & Services,NA,HTML5 CSS JavaScript,,,,,,,Oracle,25,25%,,,,,,,,,,,,,,,,,,,,
6,Accenture in India,Data Engineering,5 applicants,40,NA,Information Technology & Services,NA,Oracle C SQL Azure AWS,,,,,,,Java,23,23%,,,,,,,,,,,,,,,,,,,,
7,Artivatic.ai [Insurtech],Artivatic.ai - Blockchain Developer - Solidity/Cryptography (3-5 yrs) Bangalore,Entry level,,NA,Insurance,NA,C Node.js JavaScript Solidity,,,,,,,JavaScript,23,23%,,,,,,,,,,,,,,,,,,,,
8,JPMorgan Chase & Co.,Software Engineering - Java Full Stack,Entry level,5,NA,Financial Services,NA,Java JavaScript React,,,,,,,Python,16,16%,,,,,,,,,,,,,,,,,,,,
9,Novartis India,Engineering Expert-Unix,Mid-Senior level,3,10,Pharmaceuticals,NA,Oracle C Azure AWS,,,,,,,React,13,13%,,,,,,,,,,,,,,,,,,,,
10,Sakon,Senior Engineer-PowerBI,44 applicants,8,10,Telecommunications,NA,SQL,,,,,,,CSS,9,9%,,,,,,,,,,,,,,,,,,,,
11,Accenture in India,Data Engineering,7 applicants,40,NA,Information Technology & Services,NA,Oracle C SQL Azure AWS,,,,,,,Spring,9,9%,,,,,,,,,,,,,,,,,,,,
12,KONE,Senior Engineer - Modernisation,Associate,3,6,Mechanical Or Industrial Engineering,NA,C,,,,,,,HTML5,8,8%,,,,,,,,,,,,,,,,,,,,
13,Maersk Global Service Centres,Sr Engineer (Backend),52 applicants,5,8,Outsourcing/Offshoring,NA,Oracle C Java Spring Hibernate SQL Angular Azure,,,,,,,C++,6,6%,,,,,,,,,,,,,,,,,,,,
14,JPMorgan Chase & Co.,Software Engineering - Enterprise Data Engineering,Entry level,,NA,Financial Services,NA,C Java Spring AWS,,,,,,,NodeJS,6,6%,,,,,,,,,,,,,,,,,,,,
