S_no,job_company,job_role,job_level,job_experience_min,job_experience_max,job_industry,job_functions,job_skills,,,,,,,,,,,,,,,,,,,,
1,Diebold Nixdorf,Senior/Lead Cloud Engineers,87 applicants,2,NA,Information Technology & Services,NA,PostgreSQL C NA SQL,,,,,,,,,,,,,,,,,,,,
2,Informatica,Senior Software Engineer,Associate,4,NA,Computer Software,NA,C Java ReactJS CSS Spring JavaScript,,,,,,,,,,,,,,,,,,,,
3,Teradata,Senior Cloud Engineer,Associate,5,NA,Information Technology & Services,NA,C Java Python Angular React,,,,,,,,,,,,,,,,,,,,
4,AstraZeneca,Cloud Engineer,484 applicants,2,4,Pharmaceuticals,NA,Python SQL,,,,,,,,,,,,,,,,,,,,
5,Walmart Labs India,Software Engineer III (Store Systems - Backend),Associate,3,5,Information Technology & Services,NA,Java C++ Scala,,,,,,,,,,,,,,,,,,,,
6,Siemens Technology India,Cloud Infrastructure Engineer,Mid-Senior level,3,5,Information Technology & Services,NA,C,,,,,,,,,,,,,,,,,,,,
7,Snowflake,Cloud Support Engineer,Entry level,3,1,Computer Software,NA,C Java Python SQL NodeJS,,,,,,,,,,,,,,,,,,,,
8,Fidelity Investments,Principal Software Engineering,Mid-Senior level,4,NA,Financial Services,NA,C Python,,,,,,,,,,,,,,,,,,,,
9,DXC Technology,Platform Cloud Engineer,Mid-Senior level,5,4,Information Technology & Services,NA,C NA,,,,,,,,,,,,,,,,,,,,
10,TransUnion,Cloud Engineer,188 applicants,5,NA,Information Technology & Services,NA,C Python,,,,,,,,,,,,,,,,,,,,
11,Mphasis,Cloud DevOps Engineer,Entry level,5,NA,Information Technology & Services,NA,Angular NodeJS,,,,,,,,,,,,,,,,,,,,
12,Delphix,Cloud Infrastructure Engineer,Entry level,,NA,Computer Software,NA,Oracle C Python,,,,,,,,,,,,,,,,,,,,
13,Technicolor,Google Cloud engineer,166 applicants,8,NA,Entertainment,NA,Oracle C Python,,,,,,,,,,,,,,,,,,,,
