
S_no,job_company,job_role,job_level,job_experience_min,job_experience_max,job_industry,job_functions,job_skills
1,"Rubrik, Inc.",Senior Software Engineer - Data Platform,Associate,8,NA,Computer Software,NA,C Java Python C++ C/C++ Scala
2,Nike,"Senior Cyber Threat Analytics Engineer, India – CIS ICC",Associate,,NA,Sporting Goods,NA,C Java Python
3,Deloitte India,Data Security | Security Governance | Security Strategy | Security Framework,291 applicants,3,8,Management Consulting,NA,
4,Infoblox,Senior Threat Intelligence Analyst,Mid-Senior level,7,3,Computer & Network Security,NA,C Python
5,Vodafone,Cyber Security Professionals,Entry level,12,000,Telecommunications,NA,C
6,Rectras,Cyber Security Analyst Soc Security Automation,Entry level,450,450,Staffing & Recruiting,NA,C Python
7,Herbalife International India Pvt. Ltd.,Cyber Security Engineer,35 applicants,3,2,"Health, Wellness & Fitness",NA,C NA
8,General Mills,"Associate Manager, Cyber Security",68 applicants,5,10,Consumer Goods,NA,C Python NA Ruby
9,KPMG,Director of Cyber Security,296 applicants,10,4,Accounting,NA,C
10,Goldman Sachs,Security Engineer – Vulnerability Management,Entry level,,NA,Financial Services,NA,C
11,AvionX Inc,Security Researcher,117 applicants,3,NA,Computer & Network Security,NA,C C++ C/C++
12,EnDelve Private Limited,Malware and Threat Investigator  - Cyber Security Client of EnDelve,87 applicants,6,3,Staffing & Recruiting,NA,C
13,UST Global,Security Analyst,Associate,3,NA,Information Technology & Services,NA,C React
14,GE Healthcare,Staff Technical Product Manager,Mid-Senior level,10,NA,Hospital & Health Care,NA,
15,Talentica Software,Cyber Security Architect,Mid-Senior level,10,2,Computer Software,NA,C
16,Unilever,ISOC -Digital Forensic & Incident response (DFIR),Entry level,3,NA,Consumer Goods,NA,C Python
17,Huawei Technologies India,Technology Researcher - AI/ML/CV,Mid-Senior level,,NA,Telecommunications,NA,C
18,Mindtree,Information Security Consultant,378 applicants,2,7,Information Technology & Services,NA,C
19,CloudSEK,Technical Writer - Cybersecurity,221 applicants,,NA,Information Technology & Services,NA,
20,Milestone Inc,Director IT,Director,10,20,Marketing & Advertising,NA,C
21,Qubole,Senior Staff Security Engineer,Associate,10,NA,Information Technology & Services,NA,C Java Python JavaScript Ruby
22,GITAM Deemed University,Head Of Department (CSE),152 applicants,12,NA,Higher Education,NA,C
23,Tally Solutions Pvt Ltd,Information Security Specialist,186 applicants,17799,7799,Information Technology & Services,NA,C
