1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_no,job_company,job_role,job_level,job_experience_min,job_experience_max,job_industry,job_functions,job_skills,,,,,,,,,,,,,,,,,,,,
1,Wellness Coach,Full Stack Developer,Mid-Senior level,5,NA,"Health, Wellness & Fitness", Engineering Information Technology ,Node.js SQL React,,,,,,,,,,,,,,,,,,,,
2,Siemens Technology India,Full Stack Developer,Entry level,,NA,Information Technology & Services, Research ,C Node.js Angular,,,,,,,,,,,,,,,,,,,,
3,Sapiens,Full Stack Engineer,Mid-Senior level,5,NA,Computer Software, Engineering Information Technology ,Oracle C C# HTML5 AngularJS ASP.NET SQL JavaScript AngularJS Angular,,,,,,,,,,,,,,,,,,,,
4,Barclays,Full Stack Developer,Associate,,NA,Financial Services, Engineering Information Technology ,C C# HTML5 SQL,,,,,,,,,,,,,,,,,,,,
5,JPMorgan Chase & Co.,Java Full Stack Developer,Entry level,4,8,Financial Services, Engineering Information Technology ,C Java Python JavaScript,,,,,,,,,,,,,,,,,,,,
6,CRaBS Associates,Java Full Stack Developer,Mid-Senior level,5,NA,Human Resources, Information Technology ,Java SQL JavaScript Angular React CSS3,,,,,,,,,,,,,,,,,,,,
7,GE Healthcare,Software Engineer,Entry level,5,NA,Hospital & Health Care, Engineering Information Technology ,PostgreSQL C Java Python AngularJS CSS Spring Hibernate SQL JavaScript AngularJS React,,,,,,,,,,,,,,,,,,,,
8,Commvault,Full Stack Developers,Entry level,5,5,Computer Software, Engineering Information Technology ,C C# Java CSS JavaScript Angular,,,,,,,,,,,,,,,,,,,,
9,BYJU'S,UI / Frontend Developer,361 applicants,3,NA,E-learning, Engineering Information Technology Product Management ,C ReactJS CSS JavaScript React,,,,,,,,,,,,,,,,,,,,
10,BETSOL,Back End Developer,268 applicants,3,2,Information Technology & Services, Engineering Information Technology ,PostgreSQL C Node.js SQL JavaScript Angular React,,,,,,,,,,,,,,,,,,,,
11,1st Main,Full Stack Developer,30 applicants,3,NA,Internet, Engineering Information Technology ,C React,,,,,,,,,,,,,,,,,,,,
12,Hitachi Vantara,Software Engineer - Full Stack Developer (1006232),Entry level,3,5,Information Technology & Services, Engineering Information Technology ,,,,,,,,,,,,,,,,,,,,,
13,Mindera,NET Full Stack Developer,Entry level,,NA,Information Technology & Services, Engineering Information Technology ,C CSS SQL JavaScript,,,,,,,,,,,,,,,,,,,,
14,6sense,Full Stack Engineer,33 applicants,6,4,Information Technology & Services, Engineering Information Technology ,C Java Python ReactJS Spring SQL,,,,,,,,,,,,,,,,,,,,
15,Fractal,Senior Full Stack Developer,Associate,7,10,Management Consulting, Engineering Information Technology ,C C# Java Python ReactJS Spring SQL JavaScript Angular,,,,,,,,,,,,,,,,,,,,
16,Johnson Controls,Full Stack Engineer,Mid-Senior level,3,4,Mechanical Or Industrial Engineering, Information Technology Engineering ,Oracle Java Spring SQL JavaScript Angular,,,,,,,,,,,,,,,,,,,,
