S_no,job_company,job_role,job_level,job_experience_min,job_experience_max,job_industry,job_functions,job_skills,,,,Java,JavaScript,React,HTML5,CSS,CSS3,NodeJS,Golang,SQL,Hibernate,Scala,Ruby
1,Rolling Rock Software Pvt Ltd,Front-end/UI Developer,89 applicants,3,5,Information Technology & Services, Engineering Information Technology ,C C# HTML5 ASP.NET CSS JavaScript Angular CSS3,,,,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Ceequence Technologies,Front End Developer,Entry level,20,5,Outsourcing/Offshoring, Engineering Information Technology ,CSS JavaScript Angular React,,,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,Rakuten India,Front end engineer (Typescript and React),Entry level,6,8,Internet, Engineering Information Technology ,Spark Java Python Golang React,,,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
4,HERE Technologies,Front End Developer,Entry level,,NA,Information Technology & Services, Engineering Information Technology ,Java CSS JavaScript Angular NodeJS,,,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5,Netomi,Front End Engineer,Entry level,4,6,Internet, Engineering Information Technology ,C CSS JavaScript,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,Web Synergies (india),Front end developer,Entry level,1,91,Computer Software, Engineering Information Technology ,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,Openhouse,Front End Software Engineer,72 applicants,4,NA,Education Management, Engineering Information Technology ,CSS JavaScript React,,,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,en world group,Front end Developer,Entry level,6,8,Staffing & Recruiting, Engineering Information Technology ,C HTML5 ReactJS CSS JavaScript CSS3,,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,Intel Corporation,Front-End Design Engineer,Entry level,10,NA,Semiconductors, Engineering Information Technology ,C C++ C/C++ Ruby,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
10,M3BI,Technical Lead - Front End,Mid-Senior level,2,3,Information Technology & Services, Information Technology ,C ReactJS CSS JavaScript Angular,,,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,KONGSBERG,Front End System Architect,Associate,12,15,Mechanical Or Industrial Engineering, Engineering Information Technology ,C C# JavaScript Angular,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,IBM,Application Developer: Experience Front End,68 applicants,6,2,Information Technology & Services, Engineering Information Technology ,C ReactJS Angular React,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,"Magnitude Software, Inc",Software Engineer,Entry level,5,3,Computer Software, Engineering Information Technology ,C# NA ASP.NET SQL JavaScript Angular React,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
