S_no,job_company,job_role,job_level,job_experience_min,job_experience_max,job_industry,job_functions,job_skills,,,,,,,,,,,,,,,,,,,,
1,Altran,Senior Software Engineer,Mid-Senior level,2,5,Information Technology & Services,NA,C Python C++ C/C++,,,,,,,,,,,,,,,,,,,,
2,WSP in India,IoT Smart Solutions Architect,229 applicants,5,NA,Civil Engineering,NA,C Spark Java Python Node.js Spring JavaScript,,,,,,,,,,,,,,,,,,,,
3,HARMAN International,Senior Director,Director,18,8,Consumer Electronics,NA,Oracle C Spark Java Spring Hibernate SQL,,,,,,,,,,,,,,,,,,,,
4,Accenture,CG&S- Data Analytics,598 applicants,2,2,Information Technology & Services,NA,C Spark Python,,,,,,,,,,,,,,,,,,,,
5,Hitachi Vantara,Software Support Engineer - IoT & Analytics,"1,434 applicants",5,NA,Information Technology & Services,NA,Oracle C Java SQL JavaScript,,,,,,,,,,,,,,,,,,,,
6,RB,Data Governance Lead,Associate,10,NA,Consumer Goods,NA,PostgreSQL Spark SQL,,,,,,,,,,,,,,,,,,,,
7,UST Global,Sr. Software Developer,Associate,2,2,Information Technology & Services,NA,Oracle C Java SQL,,,,,,,,,,,,,,,,,,,,
8,Xfinito Biodesigns,Artificial Intelligence Specialist,312 applicants,,NA,Medical Device,NA,C,,,,,,,,,,,,,,,,,,,,
9,Accruent,Senior Software Engineer,Associate,10,NA,Computer Software,NA,C Java Node.js Spring Hibernate SQL,,,,,,,,,,,,,,,,,,,,
10,Dell EMC,"Automation Architect, Client Software & Solution Engineering",30 applicants,18,NA,Information Technology & Services,NA,C C# Java Python ReactJS NA Ruby,,,,,,,,,,,,,,,,,,,,
11,Mobiweb Global Solutions,IoT Developer,Associate,,NA,Computer Software,NA,C Java Python Golang Spring Hibernate JavaScript Scala PHP,,,,,,,,,,,,,,,,,,,,
12,Emerson,Azure Data Engineer,Entry level,5,7,Mechanical Or Industrial Engineering,NA,C Spark SQL,,,,,,,,,,,,,,,,,,,,
