S_no,job_company,job_role,job_level,job_experience_min,job_experience_max,job_industry,job_functions,job_skills,,,,,,,,,,,,,,,,,,,,
1,IBM,Application Architect: Mobile,14 applicants,8,10,Information Technology & Services, Engineering Information Technology ,C HTML5 JavaScript Angular CSS3,,,,,,,,,,,,,,,,,,,,
2,Grab,"Engineering Manager II, Backend",0 applicants,8,2,Information Technology & Services, Information Technology Product Management Engineering ,C,,,,,,,,,,,,,,,,,,,,
3,Amazon,Software Development Engineer II,Mid-Senior level,2,3,Internet, Information Technology Consulting Engineering ,C Java C++,,,,,,,,,,,,,,,,,,,,
4,Pinakey IT Consultancy Pvt. Ltd.,Mobile Application Developer,64 applicants,0,2,Information Technology & Services, Engineering Information Technology ,C Java SQL PHP,,,,,,,,,,,,,,,,,,,,
5,Walmart Labs India,SDET 3 FTE QE,Associate,4,7,Information Technology & Services, Engineering Information Technology ,Oracle C Java SQL,,,,,,,,,,,,,,,,,,,,
6,KASHWARE,Mobile Application Developer,93 applicants,,NA,Financial Services, Engineering Information Technology ,C,,,,,,,,,,,,,,,,,,,,
7,Noble House Consulting Pte.,Mobile Application Developer,43 applicants,3,NA,Internet, Engineering Information Technology ,C CSS JavaScript React,,,,,,,,,,,,,,,,,,,,
8,Ceequence Technologies,Mobile Application Developer,Entry level,,NA,Outsourcing/Offshoring, Engineering Information Technology ,C SQL,,,,,,,,,,,,,,,,,,,,
9,SapienHR® Analytics,Mobile Application Developer (2-4 yrs) Bangalore (Mobile Applications),Associate,,NA,Staffing & Recruiting, Engineering Information Technology ,,,,,,,,,,,,,,,,,,,,,
10,Fleet Studio,Mobile Application Developer,Associate,3,NA,Information Technology & Services, Information Technology ,C Python HTML5 SQL JavaScript React,,,,,,,,,,,,,,,,,,,,
11,Elebnis,Native/Hybrid Mobile Application Developer,55 applicants,0,2,Computer Software, Engineering Information Technology ,,,,,,,,,,,,,,,,,,,,,
12,Misha Infotech Pvt Ltd,Mobile Application Developer,Entry level,3,NA,Information Technology & Services, Engineering Information Technology ,C Java CSS JavaScript,,,,,,,,,,,,,,,,,,,,
13,Kodsmith Private Limited,Mobile Application Developer,14 applicants,,NA,Information Technology & Services, Engineering Information Technology ,JavaScript React,,,,,,,,,,,,,,,,,,,,
14,Siemens Technology India,Mobile Test Engineer,Entry level,5,NA,Information Technology & Services, Research ,C,,,,,,,,,,,,,,,,,,,,
15,Indee.tv,Android Developer,70 applicants,5,NA,Computer Software, Engineering Information Technology ,C Java,,,,,,,,,,,,,,,,,,,,
16,NetAnalytiks,Mobile Application Developer - Android Vehicle Tracking Apps - PHP (3-6 yrs) Maharashtra/Mumbai (Mobile Applications),Entry level,2,5,Information Technology & Services, Engineering Information Technology ,C SQL PHP,,,,,,,,,,,,,,,,,,,,
17,UST Global,Mobile First Platform / Worklight - Hybrid Mobile Developer,Entry level,5,5,Information Technology & Services, Information Technology ,C HTML5 SQL Angular,,,,,,,,,,,,,,,,,,,,
18,Fidelity Investments,Principal Architect - Java,Mid-Senior level,6,8,Financial Services, Quality Assurance Information Technology Engineering ,C Java,,,,,,,,,,,,,,,,,,,,
19,GE Power,Staff Software Architect,Associate,10,NA,Oil & Energy, Engineering Information Technology ,Oracle C Java CSS Spring Hibernate JavaScript,,,,,,,,,,,,,,,,,,,,
20,BYJU'S,UI / Frontend Developer,452 applicants,3,NA,E-learning, Engineering Information Technology Product Management ,C ReactJS CSS JavaScript React,,,,,,,,,,,,,,,,,,,,
21,Avaamo,Fullstack Developer,Entry level,,NA,Computer Software, Engineering Information Technology ,C Java Node.js CSS SQL JavaScript,,,,,,,,,,,,,,,,,,,,
22,CRaBS Associates,Java Full Stack Developer,18 applicants,5,NA,Human Resources, Information Technology ,Java SQL JavaScript Angular React CSS3,,,,,,,,,,,,,,,,,,,,
23,NIUM,Product Manager - Mobile,603 applicants,5,NA,Financial Services, Product Management Information Technology Finance ,C SQL React,,,,,,,,,,,,,,,,,,,,
24,OptumSoft,Backend web developer - Internet of Things,"1,352 applicants",,NA,Computer Software, Information Technology ,C Java Python HTML5 JavaScript CSS3,,,,,,,,,,,,,,,,,,,,
25,PeerLogic Systems,Mobile Applications Development Engineer,Entry level,0,2,Computer Software, Engineering Information Technology ,C Java,,,,,,,,,,,,,,,,,,,,
26,Keystone,Unity3D Developer - Mobile Games (2-5 yrs) Bangalore (Mobile Applications),Entry level,2,3,NA, Engineering Information Technology ,Spark,,,,,,,,,,,,,,,,,,,,
27,Signant Health,Mobile Developer,Entry level,3,NA,Pharmaceuticals, Engineering Information Technology ,CSS SQL JavaScript Angular,,,,,,,,,,,,,,,,,,,,
28,WSP in India,IoT Smart Solutions Architect,74 applicants,5,NA,Civil Engineering, Information Technology Consulting Design ,C Spark Java Python Node.js Spring JavaScript,,,,,,,,,,,,,,,,,,,,
29,Telstra,Software Engineer - Backend NodeJS,Entry level,3,6,Telecommunications, Information Technology Other ,C,,,,,,,,,,,,,,,,,,,,
30,Dunzo,Senior Android Developer,Director,,NA,Internet, Engineering Information Technology ,C,,,,,,,,,,,,,,,,,,,,
31,Lyearn,Software Engineer,Associate,8,NA,E-learning, Engineering Information Technology ,C CSS JavaScript React,,,,,,,,,,,,,,,,,,,,
32,Educomp Solutions Ltd,Xamarin Developer - Mobile Applications (3-5 yrs) Hyderabad (Mobile Applications),Associate,,NA,E-learning, Engineering Information Technology ,C C# ASP.NET SQL,,,,,,,,,,,,,,,,,,,,
33,Whitehat Data Services,WhiteHat Jr - Senior Mobile Application Developer - React Native/SDK (3-12 yrs) Mumbai (Mobile Applications),Entry level,1,6,Information Technology & Services, Engineering Information Technology ,C Java React,,,,,,,,,,,,,,,,,,,,
34,Poly,Application Developer,Entry level,3,5,Telecommunications, Engineering Information Technology ,C Java Python HTML5 AngularJS JavaScript AngularJS CSS3,,,,,,,,,,,,,,,,,,,,
