S_no,job_company,job_role,job_level,job_experience_min,job_experience_max,job_industry,job_functions,job_skills
1,Amazon,SDE II,Mid-Senior level,5,NA,Internet, Information Technology Consulting Engineering ,Spark Java C++
2,Manhattan Associates,Software Engineer,Mid-Senior level,2,4,Computer Software, Engineering Information Technology ,Oracle Java Hibernate SQL
3,Informatica,Software Engineer,Entry level,3,NA,Computer Software, Quality Assurance Design Engineering ,Oracle Java SQL
4,Jivox,(JX05) Software Engineer - Backend,Mid-Senior level,1,3,Marketing & Advertising, Engineering Information Technology ,Spark Java SQL Scala
5,Fidelity Investments,Software Engineer,Associate,4,NA,Financial Services, Quality Assurance Information Technology Engineering ,Oracle Spark Java Python NA C++ SQL Scala
6,E2open,Software Engineer,Entry level,3,NA,Computer Software, Engineering Information Technology ,Oracle Java JavaScript
7,Walmart Labs India,Software Engineer III Development,Associate,3,6,Information Technology & Services, Engineering Information Technology ,Spark Java SQL Scala
8,"Rubrik, Inc.",Software Engineer - Galactus,Entry level,,NA,Computer Software, Engineering Information Technology ,Oracle Java Python C++ C/C++ SQL Scala
9,JPMorgan Chase & Co.,Software Engineering,Entry level,7,10,Financial Services, Engineering Information Technology ,Java Python Spring
10,udaan.com,Software Engineer,Mid-Senior level,6,NA,Internet, Information Technology Engineering ,
11,Truecaller,Software Engineer - Java Developer,Entry level,8,NA,Internet, Engineering Information Technology ,Java
12,upGrad,Senior Software Engineer - Full stack,Mid-Senior level,8,8,E-learning, Engineering Product Management Information Technology ,Spark Java ReactJS AngularJS Spring SQL AngularJS CSS3
13,Siemens Healthineers,Full Stack Software Engineer,Entry level,3,5,Hospital & Health Care, Research Science ,C# SQL Angular React
14,BETSOL,Back End Developer,130 applicants,3,2,Information Technology & Services, Engineering Information Technology ,PostgreSQL Node.js SQL JavaScript Angular React
15,Lowe's India,Software Engineer,Associate,2,NA,Retail, Information Technology ,Java Python C++ C/C++ SQL
16,ITC Infotech,Data Engineer,Mid-Senior level,3,8,Information Technology & Services, Information Technology ,SQL
